State_Business_ID,Entity_Type,Industry_Sector,NAICS_Code,Business_Status,City,County,State,Owner_Title,Zoning_Classification,Tax_Lien_Flag,Number_of_Employees_Binned,Owner_Age_Binned,Company_Age_Binned,Annual_Revenue_Binned
PA-BUS-9406983,Corp.,Wholesale Trade,440673,Active,Harrisburg,Dauphin,PA,Owner,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
PA-BUS-7099530,PC,Retail Trade,807620,Active,Pittsburgh,Allegheny,PA,Principal,Commercial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-4187908,LLP,Insurance,177871,Active,Reading,Berks,PA,Principal,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-8426297,Inc.,Insurance,784953,Active,King of Prussia,Montgomery,PA,President,Industrial,No,Small (<250),Young (<35),Mature Stage (20+ years),<500K
PA-BUS-9180242,Corp.,Legal Services,117943,Active,Scranton,Lackawanna,PA,CEO,Mixed-Use,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-6431882,Corp.,Professional Services,275094,Active,Hanover,York,PA,Owner,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-1927904,Corp.,Entertainment & Recreation,539755,Active,Allentown,Lehigh,PA,Principal,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-9047740,Corp.,Manufacturing,732852,Revoked,Scranton,Lackawanna,PA,CEO,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-8352802,LLC,Food Service & Restaurant,368248,Pending,Lancaster,Lancaster,PA,Principal,Mixed-Use,No,Small (<250),Senior (55+),Mature Stage (20+ years),<500K
PA-BUS-8169423,LLC,Construction,526669,Active,Kutztown,Berks,PA,Managing Partner,Residential,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-2226138,Sole Proprietorship,Accounting & Tax,562990,Active,Reading,Berks,PA,President,Mixed-Use,No,Small (<250),Young (<35),Mature Stage (20+ years),<500K
PA-BUS-6949960,Inc.,Entertainment & Recreation,715987,Revoked,Bethlehem,Northampton,PA,Managing Partner,Industrial,No,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-3065444,Corp.,Food Service & Restaurant,504445,Dissolved,Levittown,Bucks,PA,Owner,Commercial,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-9019156,LLC,Wholesale Trade,378795,Active,Lancaster,Lancaster,PA,Managing Partner,Agricultural,No,Small (<250),Young (<35),Mature Stage (20+ years),500K-5M
PA-BUS-3975579,DBA,Professional Services,703114,Active,Philadelphia,Philadelphia,PA,Principal,Commercial,No,Small (<250),Young (<35),Mature Stage (20+ years),>5M
PA-BUS-5449004,Inc.,Real Estate,763233,Active,Media,Delaware,PA,CEO,Mixed-Use,Yes,Small (<250),Senior (55+),Early Stage (<20 years),<500K
PA-BUS-6224943,LLC,Wholesale Trade,610487,Active,Philadelphia,Philadelphia,PA,Managing Partner,Residential,No,Small (<250),Senior (55+),Mature Stage (20+ years),500K-5M
PA-BUS-6513425,Inc.,Auto Services,595708,Active,West Chester,Chester,PA,Principal,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),500K-5M
PA-BUS-4604353,Corp.,Auto Services,586317,Active,Scranton,Lackawanna,PA,CEO,Agricultural,No,Small (<250),Middle-Aged (35-54),Mature Stage (20+ years),<500K
